Source,File_Name,Cycle_Duration_sec,V_max,V_min,V_mean,C_rate_max,C_rate_min,C_rate_mean,Temp_max,Temp_mean,Target_Capacity_Ah,battery_id,cycle,chI,disI,SOH,RUL,SOC (%),Current (A),Ambient Temp (°C),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0000,0.041739932261407375,4.1912351,2.6998193,3.7350762212583146,0.0,-998.7985419759161,-499.4970248833203,41.174809,40.41933992433481,0.7391109210621779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0100,0.04124472278635949,4.1926785,2.6998594,3.7356805096774193,0.0,-986.7472289266043,-493.4771431855467,41.124866,40.32711510434782,0.7301929494056871,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0200,0.04099699924699962,4.1929593,2.7000198,3.7364243172121894,0.0,-980.738834589466,-490.5153697144805,41.1124,40.327297584650104,0.7257467375962049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0300,0.04083407134748995,4.192502,2.6999636,3.736473817903683,0.0,-976.8151315188251,-488.5218599149534,41.124866,40.32204489546742,0.7228431973239305,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0400,0.04057742725126445,4.1927824,2.7001641,3.7376955802965495,0.0,-970.7660754635328,-485.41940668974246,41.124866,40.314725823210715,0.7183668958430143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0500,0.04039020149502903,4.1929832,2.6998432,3.7380264149813804,0.0,-966.1874333723098,-483.17124433868634,41.124866,40.334303672300194,0.7149787006955093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0600,0.04020718554966152,4.1929431,2.6999636,3.738322718618705,0.0,-961.6491964785602,-480.8667831880168,41.087425,40.30517850503597,0.7116204053941345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0700,0.03997216385323554,4.1923819,2.7002044,3.738288945151954,0.0,-958.8271851789184,-479.4601486621584,41.174809,40.36040864196815,0.7095321170323996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0800,0.03976403234992176,4.1927028,2.7002444,3.7388838780622637,0.0,-953.8486636965548,-476.98696702955993,41.174809,40.378438329938895,0.7058480111354505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
Oxford,Oxford_Battery_Degradation_Dataset_1.mat_Cell1_cyc0900,0.0395796331577003,4.1927428,2.700084,3.7392403858520904,0.0,-949.3851038553003,-474.7515587074952,41.212246,40.38455092692195,0.7025449768529222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
